author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
Francis Bacon	56463	Bacon's Essays, and Wisdom of the Ancients	Bacon-s-Essays-and-Wisdom-of-the-Ancients_56463	fetched		701337	da94dc4f101ee74c9605dbb93a58e3252ac537e5e8b4c30330ef0ea93c510c31	56463-0.txt
Friedrich Nietzsche	4363	Beyond Good and Evil	Beyond-Good-and-Evil_4363	fetched		408809	feae718cf7af07e9285958634e3f6ebf639ac3ca6baf72fbadfa9a495206e5d4	4363.txt
Friedrich Nietzsche	19322	The Antichrist	The-Antichrist_19322	fetched		226311	0ad7240be275c09e9a53743191f8e2a5a85499b2551f6f6730e4910f693bf9ec	19322.txt
Friedrich Nietzsche	39955	The Dawn of Day	The-Dawn-of-Day_39955	fetched		597091	294bd231a593daaf2b2dd9e6c809ebb5ad76d11c272c28bd6114655c98c32363	39955-0.txt
George Bernard Shaw	3618	Arms and the Man	Arms-and-the-Man_3618	fetched		164183	4b81366b5768dce164c961af62fb9463d89eac38fcb51018e4caea53d3f45d81	3618.txt
George Bernard Shaw	3790	Major Barbara	Major-Barbara_3790	fetched		207415	6be521b29f17522cdc3c2cfc09960966f0e739aa3ae61cafa1cfbe814a6a1ea1	3790.txt
George Bernard Shaw	3825	Pygmalion	Pygmalion_3825	fetched		212678	372eea095186dca19fb169cba041de0b68e075b1ac209df8754022c810f96165	3825.txt
George Bernard Shaw	26107	Maxims for Revolutionists	Maxims-for-Revolutionists_26107	fetched		41783	f387480edaac6c8dccc796c65d0d417b7ba87a7ebbfdf31e824fea7d9b48bafe	26107-8.txt
George Eliot	145	Middlemarch	Middlemarch_145	fetched		1847718	13423f5590be43aabc2d383386d544dc121eca306ced42cf790346733968a7f8	145-8.txt
George Eliot	507	Adam Bede	Adam-Bede_507	fetched		1206576	c9bd99331b1d3689a76eba8c6c82aa0ded6fb216a00a269aecf1061a6f6720bb	507-0.txt
George Eliot	550	Silas Marner	Silas-Marner_550	fetched		420906	46b39559666acdce85bfbea4d98df3b3db0e044bcbacd22f4a55ba86be76a189	550.txt
George Eliot	6688	The Mill on the Floss	The-Mill-on-the-Floss_6688	fetched		1185830	9b489d9d8b9d48f06b38447ef37610209ace1464fb783456d0391e4211105f02	6688-0.txt
Henry David Thoreau	205	Walden	Walden-and-On-The-Duty-Of-Civil-Disobedience_205	fetched		666766	1c8b8df7bf5633b021b9139de4bc241d11984c879456823701d3918f3b2f725d	205.txt
Henry David Thoreau	1022	Walking	Walking_1022	fetched		88948	ea996729f2b6ff5074ffc94b94838eb99e270eb3297bb52343bcff8798bb6976	1022-0.txt
Henry Wadsworth Longfellow	1365	The Complete Poetical Works of Henry Wadsworth Longfellow	The-Complete-Poetical-Works-of-Henry-Wadsworth-Longfellow_1365	fetched		1966416	9a2594213268bb8eed98081881264b23515a762eadf19d1ab14031231ceb397d	1365.txt
Horace	5432	The Odes and Carmen Saeculare of Horace	The-Odes-and-Carmen-Saeculare-of-Horace_5432	fetched		209198	a5b833c11fc47acb699be442f2840f891c8017c02845ca27c2d0ce3494f17444	5432.txt
Horace	14020	The Works of Horace	The-Works-of-Horace_14020	fetched		485282	1b5e0810038ed32fd14ec55ad50443736a5ef7306198be7739256ffd27301877	14020.txt
James Russell Lowell	13310	The Complete Poetical Works of James Russell Lowell	The-Complete-Poetical-Works-of-James-Russell-Lowell_13310	fetched		1676327	13d3edb6b0195389d72973249142effa6ba999d9acce2668ad7036ede81e74bf	13310.txt
Johann Wolfgang von Goethe	2527	The Sorrows of Young Werther	The-Sorrows-of-Young-Werther_2527	fetched		259380	5e9eabd2d321a98d8f9f81fb114a68a1b11e7743879ee92b440e31dc9d6d85f4	2527.txt
Johann Wolfgang von Goethe	14591	Faust	Faust_14591	fetched		249339	29fcc1c9ac6816c456ea8365629f9c87e45c4fb9776f15406c9d4a91afe91cb2	14591.txt
John Locke	7370	Second Treatise of Government	Second-Treatise-of-Government_7370	fetched		338612	7d79ca5039cf8da0ba4c36e4a75cb9b24774c2eec063383957fcc30b804ef2db	7370.txt
Jonathan Swift	623	The Battle of the Books and Other Short Pieces	The-Battle-of-the-Books-and-Other-Short-Pieces_623	fetched		252079	f1e723f62a2c361a1f5e8822eaf0e79e393d48a1e7c1290d6a1b40a8c79f35a9	623.txt
Jonathan Swift	829	Gulliver's Travels	Gulliver-s-Travels_829	fetched		611864	37e0bf90ce1c9d254bae3ea75be1b0233771b2e2c0a832dd1f85b8d6bfb86935	829-0.txt
Jonathan Swift	4737	A Tale of a Tub	A-Tale-of-a-Tub_4737	fetched		292423	dcd0ac13f0f362d53bea090cd98316ba23065fc0376cbdb1bea3ea1d3390691d	4737-0.txt
Joseph Addison	9334	The Spectator, Volume 1	The-Spectator-Volume-1Eighteenth-Century-Periodical-Essays_9334	fetched		1909451	90649f6c754a567ee940f97f602e3e012da24d7ea92eef92d8e7ae5b4fbe8679	9334.txt
Lewis Carroll	11	Alice's Adventures in Wonderland	Alice-s-Adventures-in-Wonderland_11	fetched		173595	49a0b2726606e1290ac03a63978fa1dd1bd38a8d805704d98265f393533ea094	11-0.txt
Lewis Carroll	12	Through the Looking-Glass	Through-the-Looking-Glass_12	fetched		193607	24bae70935e7fce7be74357779c53861c0cd04b3687f3005c1a8687f2b909988	12-0.txt
Lord Byron	5131	Childe Harold's Pilgrimage	Childe-Harold-s-Pilgrimage_5131	fetched		251546	727fda6752d6d5614a5c53f1f0c33216e4b8080d13ae4da26dbe0717fe02663f	5131.txt
Lord Byron	21700	Don Juan	Don-Juan_21700	fetched		832851	741e4af1bcb3a032618fa47dcddef9ebb91741c3bdf62e1db6a2eabf979d1b44	21700-8.txt
Marcus Aurelius	2680	Meditations	Meditations_2680	fetched		425178	faced7169430b9bedb39fc8501a0a15fb0bfb52a45c09f3eb4668135e371b65b	2680-8.txt
Mark Twain	76	Adventures of Huckleberry Finn	Adventures-of-Huckleberry-Finn_76	fetched		616320	cd9931183257a850178225bd5e25e4f2df0cbac544dfe9a49cd0ea5a210c24d9	76-0.txt
Mark Twain	102	Pudd'nhead Wilson	The-Tragedy-of-Pudd-nhead-Wilson_102	fetched		320243	0e7fdcb7d6f4afe022f8eb257e8ce196f6650550eb33cfa29213f09b6b72cf93	102-0.txt
Mark Twain	3176	The Innocents Abroad	The-Innocents-Abroad_3176	fetched		1149349	4c57ac3434eb59a86ff1817251b9166398dc6a1f1abfbf119024c52cd14e799c	3176-0.txt
Mark Twain	3188	Mark Twain's Speeches	Mark-Twain-s-Speeches_3188	fetched		540735	771bc4caecdc54643887e34c69a9af392dbacb6350df072acadbfd8844a969f0	3188-0.txt
Oscar Wilde	174	The Picture of Dorian Gray	The-Picture-of-Dorian-Gray_174	fetched		462103	0c9a2cbf188ca6534c60381b764ac37bf4594b16971aea5cc8263e83b9ce9a05	174.txt
Oscar Wilde	790	Lady Windermere's Fan	Lady-Windermere-s-Fan_790	fetched		141508	4bfaa2ba89426d0aa6a8a601526f635c1007b650547591247b18abd897debe2e	790-0.txt
Oscar Wilde	854	A Woman of No Importance	A-Woman-of-No-Importance_854	fetched		153614	42e4d61cffa60ca0b9bfd00d012f77064f7f1f5133bd8069a033830e2b69d82a	854-0.txt
Oscar Wilde	887	Intentions	Intentions_887	fetched		361294	616be6357e2fbcf4ba02c1163c4328a94629bf93c8a2f2a3a022c514c95f13b3	887-0.txt
Ralph Waldo Emerson	16643	Essays (selection, incl. Self-Reliance, Compensation, Friendship)	Essays-by-Ralph-Waldo-Emerson_16643	fetched		567488	fd23dcacc8d72aa98cf13c02cdcbe3d15742d510f3d4b6d66de8d8e5e86d2791	16643.txt
