author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
James Otis	27702	Mr. Stubbs's Brother	Mr-Stubbs-s-Brother_27702	unavailable				
James Otis	27984	Ralph Gurney's Oil Speculation	Ralph-Gurney-s-Oil-Speculation_27984	fetched		428697	c8c3fa2d3f2b431a3931e85025bcf0f2ee5b602b36b14a1830bc3a518a151b45	27984-8.txt
James Otis	28697	Down the Slope	Down-the-Slope_28697	fetched		412019	444d76426793b7f0191a1a8e46d21e51f4e4bd7b923e4a96a1a6832acbd668a3	28697-8.txt
James Otis	30684	The Boys of '98	The-Boys-of-98_30684	fetched		577654	8a0927ef375f1815c4f3e136d5da41b60be512e190af76272bc05abc237dc5d9	30684-0.txt
James Otis	31265	Aunt Hannah and Seth	Aunt-Hannah-and-Seth_31265	fetched		141777	dd38c5e6d6f8a8d274526ac1e01f63b62d083112c22df85fff8e23b1190281f9	31265.txt
James Otis	31555	Under the Liberty Tree: A Story of The 'Boston Massacre'	Under-the-Liberty-Tree-A-Story-of-The-Boston-Massacre_31555	unavailable				
James Otis	31556	Dick in the Desert	Dick-in-the-Desert_31556	fetched		120746	7bfce5c2dd53770aae3c588ea0c23fcf1fd904969c8ee8253ed7640c14c713f9	31556-8.txt
James Otis	32249	The Princess and Joe Potter	The-Princess-and-Joe-Potter_32249	fetched		321587	b3df2374dec4818a89e5ec6ae1dc583aae67cf695ed86f4c371011c2ed90e0ee	32249-8.txt
James Otis	32393	Toby Tyler; Or, Ten Weeks with a Circus	Toby-Tyler-Or-Ten-Weeks-with-a-Circus_32393	unavailable				
James Otis	32555	The Club at Crow's Corner	The-Club-at-Crow-s-Corner_32555	fetched		213336	ffaacc1722e4b441d78ea58c12e5010dd1d045086f6c9fb9cb9af324cdc91a01	32555.txt
James Otis	32648	The Minute Boys of York Town	The-Minute-Boys-of-York-Town_32648	fetched		551383	1913d3c9e925e4bc1da4967a825010992ad357b648cd02e9b595f564a149b369	32648.txt
James Otis	32678	Commodore Barney's Young Spies	Commodore-Barney-s-Young-Spies_32678	unavailable				
James Otis	32723	The Minute Boys of Boston	The-Minute-Boys-of-Boston_32723	fetched		552931	a2329ac34bd1d56d594cdb9da243544d5ffa8e7af7d80839f52a7b7f0d421218	32723.txt
James Otis	33110	Corporal 'Lige's Recruit: A Story of Crown Point and Ticonderoga	Corporal-Lige-s-Recruit-A-Story-of-Crown-Point-and-Ticonderoga_33110	unavailable				
James Otis	33242	An Amateur Fireman	An-Amateur-Fireman_33242	fetched		420165	1dfc3c3620b03888acb4fa1172f78c7e1b68b5ef330f94f0cef3c1d98f6ce6d9	33242-8.txt
James Otis	33890	On the Kentucky Frontier: A Story of the Fighting Pioneers of the West	On-the-Kentucky-Frontier-A-Story-of-the-Fighting-Pioneers-of-the-West_33890	unavailable				
James Otis	34558	Defending the Island: A story of Bar Harbor in 1758	Defending-the-Island-A-story-of-Bar-Harbor-in-1758_34558	unavailable				
James Otis	34799	A Runaway Brig; Or, An Accidental Cruise	A-Runaway-Brig-Or-An-Accidental-Cruise_34799	unavailable				
James Otis	35046	Teddy and Carrots: Two Merchants of Newpaper Row	Teddy-and-Carrots-Two-Merchants-of-Newpaper-Row_35046	unavailable				
James Otis	37647	The Adventures of a Country Boy at a Country Fair	The-Adventures-of-a-Country-Boy-at-a-Country-Fair_37647	fetched		366272	02dd015d75617666df78045b98b87e28c148a11ebb5929dce40d880f31a95a9a	37647.txt
James Otis	41708	Jack the Hunchback: A Story of Adventure on the Coast of Maine	Jack-the-Hunchback-A-Story-of-Adventure-on-the-Coast-of-Maine_41708	unavailable				
James Otis	41997	The Light Keepers: A Story of the United States Light-house Service	The-Light-Keepers-A-Story-of-the-United-States-Light-house-Service_41997	unavailable				
James Otis	42327	Peter of New Amsterdam: A Story of Old New York	Peter-of-New-Amsterdam-A-Story-of-Old-New-York_42327	unavailable				
James Otis	43420	Off Santiago with Sampson	Off-Santiago-with-Sampson_43420	fetched		136920	dc532e4d65ed08229e1eab2583db292f269d0e13ec6eb4dee968b85ce7b16498	43420-8.txt
James Otis	43714	The Boy Spies with the Regulators	The-Boy-Spies-with-the-Regulators_43714	fetched		339985	3c2ccc83966c84339a59ccafe54161aa980228b09bb74dc6e5be1b363da6e419	43714.txt
